[ERROR] 150.192.178.83   => 172.39.228.111  	 real_cnt=52   	 estimate = 84.0  
[PASS]  203.66.211.140   => 103.62.247.245  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 124.47.73.163   	 real_cnt=2    	 estimate = 6.0   
[ERROR] 216.245.69.83    => 150.192.178.83  	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 122.38.157.74   	 real_cnt=2    	 estimate = 8.0   
[PASS]  203.66.211.140   => 114.173.49.46   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.62.75     => 150.192.110.202 	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 223.214.140.99  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 223.29.215.51   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 123.184.40.197  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 122.169.11.253  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 222.157.14.131  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 103.225.118.215 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 92.202.31.19    	 real_cnt=2    	 estimate = 42.0  
[PASS]  203.66.193.201   => 153.107.43.192  	 real_cnt=4    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 117.111.248.64  	 real_cnt=2    	 estimate = 86.0  
[PASS]  163.221.117.200  => 64.9.33.64      	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 106.110.45.231  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 121.236.68.163  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 180.95.166.141   => 203.66.211.140  	 real_cnt=2    	 estimate = 4.0   
[PASS]  203.66.211.140   => 180.124.246.220 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 163.221.225.173  => 205.244.185.9   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 131.31.98.205    => 213.3.7.101     	 real_cnt=2    	 estimate = 20.0  
[ERROR] 203.66.211.140   => 58.90.105.73    	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 219.142.232.192 	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 161.141.249.200 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 202.30.126.242   => 202.13.218.158  	 real_cnt=2    	 estimate = 4.0   
[PASS]  163.221.67.204   => 221.13.8.174    	 real_cnt=24   	 estimate = 24.0  
[ERROR] 163.221.122.48   => 35.55.121.58    	 real_cnt=14   	 estimate = 94.0  
[ERROR] 203.66.211.140   => 54.130.246.2    	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 58.197.206.112  	 real_cnt=2    	 estimate = 30.0  
[ERROR] 203.66.211.140   => 125.102.13.185  	 real_cnt=2    	 estimate = 6.0   
[ERROR] 203.66.211.140   => 114.190.198.218 	 real_cnt=2    	 estimate = 10.0  
[ERROR] 203.66.211.140   => 114.57.238.238  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 14.150.18.27    	 real_cnt=2    	 estimate = 12.0  
[ERROR] 203.66.193.242   => 221.231.99.80   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 211.229.104.112 	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 123.171.246.187 	 real_cnt=2    	 estimate = 2.0   
[PASS]  203.66.211.140   => 27.111.159.170  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 131.31.98.196    => 210.69.198.174  	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 175.114.20.148  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 58.191.181.83   	 real_cnt=2    	 estimate = 64.0  
[ERROR] 203.66.211.140   => 223.248.16.74   	 real_cnt=2    	 estimate = 44.0  
[ERROR] 203.66.211.140   => 61.250.33.242   	 real_cnt=2    	 estimate = 4.0   
[PASS]  203.66.211.140   => 171.226.16.85   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 131.31.138.145   => 103.244.164.140 	 real_cnt=16   	 estimate = 0.0   
[ERROR] 203.66.211.140   => 115.106.68.183  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 202.248.193.201  => 153.74.185.8    	 real_cnt=6    	 estimate = 0.0   
[ERROR] 131.31.210.191   => 147.93.105.101  	 real_cnt=12   	 estimate = 2.0   
[ERROR] 163.187.105.3    => 203.66.193.201  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 150.192.205.210  => 15.129.22.13    	 real_cnt=2    	 estimate = 102.0 
[ERROR] 150.192.37.106   => 104.140.65.148  	 real_cnt=8    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 110.136.46.229  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 163.221.199.155  => 13.244.85.224   	 real_cnt=4    	 estimate = 8.0   
[ERROR] 203.66.211.140   => 35.106.92.123   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 163.221.224.28   => 95.229.104.133  	 real_cnt=2    	 estimate = 104.0 
[PASS]  203.66.211.140   => 223.31.194.145  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 124.39.57.118   	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 148.64.180.51   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 112.56.162.220  	 real_cnt=2    	 estimate = 4.0   
[PASS]  131.31.68.69     => 172.39.49.195   	 real_cnt=6    	 estimate = 6.0   
[PASS]  150.192.204.129  => 172.39.49.203   	 real_cnt=10   	 estimate = 10.0  
[PASS]  203.66.201.13    => 114.156.22.208  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 42.110.32.110   	 real_cnt=2    	 estimate = 10.0  
[PASS]  203.66.211.140   => 118.15.157.153  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 131.31.207.9     => 108.121.153.179 	 real_cnt=2    	 estimate = 8.0   
